Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@CamaraDeputados,"Instituição, partido, empresa",-11,13,9,10,1,2,34,,20,7,10,9,4,1,1,15,2,20,36,1,,3,47,13,1,1,3,2,,12,277
@folha,mídia,1,12,8,6,,1,25,1,17,5,9,4,5,1,,14,3,18,36,1,1,3,35,9,1,1,2,3,,9,230
@g1,mídia,-2,10,6,8,1,1,28,1,18,7,8,6,5,1,,15,3,18,30,1,,4,32,9,1,1,3,2,,7,226
@dilmabr,político,-41,3,10,11,1,3,26,,17,5,13,10,4,1,1,12,,15,15,1,1,3,56,8,,1,1,,,7,225
@Estadao,mídia,3,13,8,5,1,1,31,,15,8,10,4,5,1,,11,3,18,31,2,1,2,28,9,1,1,3,2,1,10,225
@CamaraNoticias,"Instituição, partido, empresa",-6,12,7,8,1,,20,,19,9,9,5,6,1,,10,2,18,31,1,,2,37,10,1,1,3,,,11,224
@BlogdoNoblat,jornalista,4,12,6,9,,3,24,1,14,8,9,5,6,,1,13,,16,36,1,1,2,32,10,,1,2,1,,7,220
@JornalOGlobo,mídia,2,10,7,6,,1,24,1,15,7,11,3,6,,,12,2,16,34,1,1,4,32,9,1,1,2,1,1,8,216
@VEJA,mídia,22,9,2,8,,2,21,1,17,6,9,5,6,1,,16,3,19,35,1,,1,13,9,1,1,3,2,1,9,201
@tvcamara,mídia,-9,9,7,9,1,1,24,,12,3,8,1,4,1,,11,1,14,26,1,,3,35,8,1,1,2,1,,8,192
@joseserra_,político,30,15,3,4,,,20,1,12,8,11,6,4,1,,8,1,20,42,1,1,1,12,8,,1,2,1,,9,192
@cartacapital,mídia,-22,3,10,5,,3,19,,8,5,5,3,6,1,1,13,1,11,21,1,1,4,43,4,1,1,3,2,1,9,185
@MiriamLeitaoCom,jornalista,6,10,4,4,,,26,1,12,8,6,6,4,,,11,1,13,28,1,,2,22,10,,1,3,2,,6,181
@SenadoFederal,"Instituição, partido, empresa",-14,7,4,7,1,,22,,14,7,8,5,3,1,,10,1,13,18,1,,2,32,8,1,1,2,2,,8,178
@STF_oficial,"Instituição, partido, empresa",-8,8,6,6,,2,20,1,10,4,8,3,5,,1,11,1,11,23,1,,3,31,7,1,1,1,1,,10,176
@congemfoco,mídia,0,8,4,6,,1,20,,13,7,6,1,3,1,1,10,,11,29,1,1,4,29,7,1,,3,1,,7,175
@cristilobo,jornalista,6,11,5,7,,1,19,1,8,5,7,3,3,1,1,12,,12,30,1,,2,24,5,1,1,3,1,,6,170
@RevistaEpoca,mídia,0,8,3,7,,1,19,1,12,8,7,4,4,1,,12,3,11,24,1,,2,24,8,,,1,2,,6,169
@blogplanalto,"Instituição, partido, empresa",-39,4,7,6,,1,20,1,11,3,7,2,5,,1,9,,10,10,1,1,2,49,5,1,1,2,1,,7,167
@silva_marina,político,4,3,2,7,,2,16,1,11,7,7,6,3,1,1,15,1,14,23,1,1,3,19,7,,1,2,3,,9,166
@radaronline,mídia,9,11,5,6,,1,20,1,11,8,7,4,1,,1,7,1,12,28,1,,1,19,7,1,,1,2,,6,162
@EstadaoPolitica,mídia,4,11,3,3,,3,18,1,10,4,6,5,4,,,8,1,10,26,,1,1,22,7,1,,2,1,,8,156
@GloboNews,mídia,-1,10,4,1,,1,15,1,12,5,7,3,3,1,,8,1,6,21,1,1,3,22,9,1,1,2,2,,6,147
@g1politica,mídia,-5,9,4,5,,2,18,1,9,5,4,1,2,,,7,1,12,20,1,,2,25,5,,1,2,1,,6,143
@UOLNoticias,mídia,1,11,5,2,,1,21,,10,2,5,2,4,1,,6,2,7,22,1,1,1,21,6,1,,1,3,1,5,142
@valor_economico,mídia,1,4,4,6,,1,19,1,7,6,4,3,5,1,1,6,1,6,25,1,,2,24,6,1,1,1,,1,5,142
@folha_poder,mídia,4,10,3,3,,1,14,,9,5,5,3,2,,1,7,1,12,24,,,3,20,5,1,1,2,2,,8,142
@Sen_Cristovam,político,-4,6,2,10,,2,12,1,7,3,3,3,6,1,1,8,,10,19,1,,2,23,6,,1,1,1,,9,138
@portalR7,mídia,-8,5,,3,,1,15,,12,2,6,7,3,,1,9,1,8,15,1,1,3,23,6,1,1,2,,,7,133
@DoraKramer,jornalista,8,12,4,3,,1,16,1,8,5,5,,1,,1,7,,11,27,,,1,19,4,,,1,1,,5,133
@blogdojosias,jornalista,-2,9,2,4,,1,17,1,6,8,4,1,1,,,5,,8,23,,1,2,25,5,1,1,2,1,,5,133
@geraldoalckmin_,político,33,10,,5,,,15,,7,5,4,3,3,1,,6,,14,40,1,,,7,4,,1,1,1,,3,131
@RevistaISTOE,mídia,0,7,2,5,,,14,1,6,3,6,2,3,1,,9,,5,23,1,1,1,23,7,1,1,2,1,,5,130
@Ancelmocom,jornalista,5,6,4,6,,2,13,1,8,5,6,2,1,,1,5,1,10,22,1,1,3,17,6,,,2,1,,5,129
@TerraNoticiasBR,mídia,-4,7,1,,,1,17,,8,2,6,4,3,1,1,4,2,6,21,1,,3,25,5,1,,,2,1,5,127
@AecioNeves,político,28,9,2,4,,,10,,7,4,5,1,,1,,8,1,12,38,,1,,10,4,,1,2,1,,6,127
@gcamarotti,jornalista,10,8,7,2,,1,17,,5,5,5,2,3,1,,7,,7,26,1,,2,16,5,1,,1,1,,3,126
@DepEduardoCunha,deputado,11,5,3,6,,2,22,,10,6,3,2,3,1,,7,2,8,23,,,,12,4,,,3,,,4,126
@monicabergamo,jornalista,1,5,6,3,,1,14,1,5,5,4,4,2,,1,4,,9,22,1,,2,21,5,1,,2,1,,6,125
@KennedyAlencar,jornalista,3,6,4,4,,,18,1,7,3,3,1,4,,1,5,,8,24,1,,4,21,5,,,1,,,4,125
