"x","y","nome_deputado","nome","partido","uf","twitter","ordem","Partido"
-0.2346939929,-0.2900254016,"1313luizianne","LUIZIANNE LINS","PT","CE","1313luizianne","NA","PT"
0.0665875263,-0.1465659541,"adail12321","ADAIL CARNEIRO","PHS","CE","adail12321","NA","resto"
0.1437120357,-0.1016386382,"adelson_barreto","ADELSON BARRETO","PTB","SE","adelson_barreto","NA","resto"
-0.1424793127,0.0366336302,"aeltonfreitasmg","AELTON FREITAS","PR","MG","aeltonfreitasmg","NA","resto"
-0.1361068753,-0.1890048075,"afonso_florence","AFONSO FLORENCE","PT","BA","afonso_florence","NA","PT"
0.1396017005,-0.0203177254,"afonso_motta","AFONSO MOTTA","PDT","RS","afonso_motta","NA","resto"
0.1783102007,-0.0334138112,"aguinaldo1111","AGUINALDO RIBEIRO","PP","PB","aguinaldo1111","NA","resto"
-0.0488290491,0.0472085059,"alan_rick","ALAN RICK","PRB","AC","alan_rick","NA","resto"
-0.0591805513,0.1449151215,"alberto_fraga","ALBERTO FRAGA","DEM","DF","alberto_fraga","NA","resto"
-0.0594529315,0.1636270658,"alceu_moreira","ALCEU MOREIRA","PMDB","RS","alceu_moreira","NA","PMDB"
0.1284737309,0.1018091116,"aleluiacosta","JOSÉ CARLOS ALELUIA","DEM","BA","aleluiacosta","NA","resto"
-0.0466322951,0.1225443233,"aleserfiotis","ALEXANDRE SERFIOTIS","PSD","RJ","aleserfiotis","NA","resto"
-0.1525704874,-0.093425262,"alessandromolon","ALESSANDRO MOLON","PT","RJ","alessandromolon","NA","PT"
-0.0351072455,0.2076442552,"alexandrebaldy","ALEXANDRE BALDY","PSDB","GO","alexandrebaldy","NA","PSDB"
0.038037121,0.0159374028,"alexmanentepps","ALEX MANENTE","PPS","SP","alexmanentepps","NA","resto"
0.0841487849,0.1283755925,"alfredokaefer","ALFREDO KAEFER","PSDB","PR","alfredokaefer","NA","PSDB"
-0.0821729926,-0.14938875,"alice_portugal","ALICE PORTUGAL","PCdoB","BA","alice_portugal","NA","resto"
0.1839352582,-0.0747371643,"alielmachado","ALIEL MACHADO","PCdoB","PR","alielmachado","NA","resto"
0.0798004813,-0.0154612836,"altineu","ALTINEU CÔRTES","PR","RJ","altineu","NA","resto"
-0.2525457647,-0.1965637708,"alvinomarcio","MARCIO ALVINO","PR","SP","alvinomarcio","NA","resto"
-0.2304814867,0.345486143,"a_mendes2727","ALUISIO MENDES","PSDC","MA","a_mendes2727","NA","resto"
-0.2923392889,-0.1104655947,"anaperugini","ANA PERUGINI","PT","SP","anaperugini","NA","PT"
0.2007045832,-0.0694083621,"andrefufuca","ANDRÉ FUFUCA","PEN","MA","andrefufuca","NA","resto"
-0.0728444796,-0.0731524021,"andrepdt12","ANDRÉ FIGUEIREDO","PDT","CE","andrepdt12","NA","resto"
0.149213863,-0.0462231926,"andresanchez63","ANDRES SANCHEZ","PT","SP","andresanchez63","NA","PT"
-0.2282959896,-0.0233455158,"antoniobritoba","ANTONIO BRITO","PTB","BA","antoniobritoba","NA","resto"
0.0588822132,0.0817082293,"antoniojacome","ANTÔNIO JÁCOME","PMN","RN","antoniojacome","NA","resto"
0.1600132675,0.0042721998,"apezequiel","EZEQUIEL TEIXEIRA","SD","RJ","apezequiel","NA","resto"
0.0138932878,0.1089137293,"arnaldojardim","ARNALDO JARDIM","PPS","SP","arnaldojardim","NA","resto"
0.0985384587,0.0143634794,"arnaldojordy","ARNALDO JORDY","PPS","PA","arnaldojordy","NA","resto"
0.1384442254,-0.0055473572,"arthurbisneto","ARTHUR VIRGÍLIO BISNETO","PSDB","AM","arthurbisneto","NA","PSDB"
-0.0452870193,0.0303203045,"ascomrg","ROBERTO GÓES","PDT","AP","ascomrg","NA","resto"
0.037839135,-0.155544219,"assis_carvalho","ASSIS CARVALHO","PT","PI","assis_carvalho","NA","PT"
-0.0306802553,-0.1600605501,"assisdocouto","ASSIS DO COUTO","PT","PR","assisdocouto","NA","PT"
0.0338860588,0.1293155001,"augustocmelo","AUGUSTO COUTINHO","SD","PE","augustocmelo","NA","resto"
-0.0753826674,0.1049628877,"baleia_rossi","BALEIA ROSSI","PMDB","SP","baleia_rossi","NA","PMDB"
0.1029089392,0.1865219996,"bandrada","BONIFÁCIO DE ANDRADA","PSDB","MG","bandrada","NA","PSDB"
0.0151887835,-0.162118166,"bebeto4013","BEBETO","PSB","BA","bebeto4013","NA","resto"
-0.0657769933,0.1040196318,"benitogama","BENITO GAMA","PTB","BA","benitogama","NA","resto"
0.1757241681,-0.0532664631,"benjamimaranhao","BENJAMIN MARANHÃO","SD","PB","benjamimaranhao","NA","resto"
-0.0862244856,0.2362723625,"betinhogomes","BETINHO GOMES","PSDB","PE","betinhogomes","NA","PSDB"
